model,dim,slope_b,intercept_a,r2
Claude Sonnet 4.6,DBZ-R Anx,0.7852024139349366,-0.2934849370200506,0.9298152132333222
Claude Sonnet 4.6,DBZ-R Avo,0.8678074498014096,0.20425409043795353,0.9763623608002421
Claude Sonnet 4.6,MentS total,0.9330776322665165,-0.19117655162246958,0.9678153138450254
Claude Sonnet 4.6,KPP mean,0.8180943603508053,-0.35530391017909685,0.9527679863991453
Claude Sonnet 4.6,TIPI E,0.8972370461623703,0.14491650402765172,0.9692681782340061
Claude Sonnet 4.6,TIPI A,0.7170089017282456,-0.19262859501823243,0.83630508154043
Claude Sonnet 4.6,TIPI C,0.907834819283971,-0.3100472295545766,0.9309566885234533
Claude Sonnet 4.6,TIPI ES,0.8415356370050237,0.0754616400359877,0.9620731284902473
Claude Sonnet 4.6,TIPI O,0.6898259519884529,0.010732470205748006,0.9377049526206875
Claude Opus 4.6,DBZ-R Anx,0.9097721235813856,0.014626208584851383,0.962659127718948
Claude Opus 4.6,DBZ-R Avo,0.9262348337911603,-0.01743798302037976,0.9712581672294126
Claude Opus 4.6,MentS total,0.985195703152917,-0.03469335490406955,0.9272233305437867
Claude Opus 4.6,KPP mean,0.891321974479672,-0.39965891361029127,0.8704651873043635
Claude Opus 4.6,TIPI E,0.9353716800248079,0.035301991834566275,0.9690143608995675
Claude Opus 4.6,TIPI A,0.860092445145967,0.08563612566918337,0.866729911441245
Claude Opus 4.6,TIPI C,0.8842289669120413,-0.02583952394386701,0.9486966145290223
Claude Opus 4.6,TIPI ES,0.9027755214923111,-0.15779044600170025,0.9672552550451686
Claude Opus 4.6,TIPI O,0.908405281242239,-0.18571531196252974,0.9394812820913214
GPT-5.4-mini,DBZ-R Anx,0.9736126238891657,0.07044078359046468,0.9492324407264635
GPT-5.4-mini,DBZ-R Avo,0.8406773232191416,0.18842609578801567,0.9414995211557197
GPT-5.4-mini,MentS total,0.8103781284758652,0.421070621531847,0.9147655757655082
GPT-5.4-mini,KPP mean,0.7625181232169351,0.6269943165164545,0.8500143536492942
GPT-5.4-mini,TIPI E,0.9086056764438898,-0.12612986152480232,0.940155367226521
GPT-5.4-mini,TIPI A,0.7170667153947109,0.20858575785921454,0.6749904505284794
GPT-5.4-mini,TIPI C,0.8810068750546108,0.0800224282488232,0.9590921966876947
GPT-5.4-mini,TIPI ES,0.919605132592961,0.07637644702381842,0.94000452171696
GPT-5.4-mini,TIPI O,0.8019490905750751,-0.0633889396664398,0.8802310628753813
GPT-5.4,DBZ-R Anx,1.0782805198155583,-0.0685165696222159,0.9793203538108004
GPT-5.4,DBZ-R Avo,1.0444098830440782,0.09897245354925856,0.9752841993545516
GPT-5.4,MentS total,1.0665991947863358,-0.1849504921122461,0.9529244149137505
GPT-5.4,KPP mean,1.0444351825140483,-0.02243898924664091,0.9689452173203121
GPT-5.4,TIPI E,1.0970985566277716,-0.0754632966532614,0.9757353315415069
GPT-5.4,TIPI A,1.2682723542431742,0.017703933780590358,0.8785237878535651
GPT-5.4,TIPI C,1.075929614802159,0.016929763626437288,0.9695229189861223
GPT-5.4,TIPI ES,1.0667862122442033,-0.15986622613546672,0.9783672034811111
GPT-5.4,TIPI O,1.2228985315137915,0.10077549793435389,0.933420220992302
GPT-5.5,DBZ-R Anx,1.0845216898639447,-0.05736126981232199,0.9789169163290267
GPT-5.5,DBZ-R Avo,1.1309499623179142,-0.012980529069522344,0.9871289728842468
GPT-5.5,MentS total,1.1048276408022872,-0.05896330966393406,0.9516307632814591
GPT-5.5,KPP mean,1.107434977503699,-0.23116368430397044,0.9701015358577246
GPT-5.5,TIPI E,1.1014144319453734,0.16948927940221112,0.9815258814200782
GPT-5.5,TIPI A,1.1755177484782762,-0.07542854539662998,0.9049801951002654
GPT-5.5,TIPI C,1.1046228677756298,-0.03504946709583301,0.9710976391795009
GPT-5.5,TIPI ES,1.1385455672233415,-0.14241321152946715,0.979446569066827
GPT-5.5,TIPI O,1.207422281807975,0.2835346685900726,0.9374096562636492
Grok-4-20,DBZ-R Anx,1.0889910589837175,0.23011671611932946,0.9550761777682955
Grok-4-20,DBZ-R Avo,1.0429843758526787,-0.2010006487815089,0.9648232253770281
Grok-4-20,MentS total,1.0616580790439358,-0.05391987804166859,0.9111398488704966
Grok-4-20,KPP mean,1.0765950101384478,0.299579244247172,0.9692641888695627
Grok-4-20,TIPI E,0.9257536874236639,-0.19720391047566804,0.9735440206310759
Grok-4-20,TIPI A,0.9124129196878968,0.10988616470133612,0.7403476937733384
Grok-4-20,TIPI C,1.0253280575177468,0.05606135364505106,0.9641053332813136
Grok-4-20,TIPI ES,1.0043022988038437,0.2667279646863427,0.9588582626763503
Grok-4-20,TIPI O,0.8525474235456018,-0.019728905910857405,0.8557583588027456
Gemini 3 Flash,DBZ-R Anx,1.048901559767361,0.12928982349503657,0.949319882353099
Gemini 3 Flash,DBZ-R Avo,1.1267846183993249,-0.23855927512800304,0.9581613966352839
Gemini 3 Flash,MentS total,0.9692127164870631,0.09875784248530767,0.8622133614142742
Gemini 3 Flash,KPP mean,1.265147440408577,0.12031113828206413,0.9639583052216482
Gemini 3 Flash,TIPI E,1.1112043842314854,0.008501515674296892,0.9677930256710887
Gemini 3 Flash,TIPI A,1.203187985594932,-0.14898663879106383,0.8614151702851408
Gemini 3 Flash,TIPI C,1.083560035625469,0.24119415955570278,0.9403833436024953
Gemini 3 Flash,TIPI ES,1.1023010762107532,0.023762386524557248,0.9693660951417864
Gemini 3 Flash,TIPI O,1.2798624351682077,-0.12368910095915825,0.9393548360407784
