model_1,model_2,median_r_9dims,min_r,max_r
Claude Sonnet 4.6,Claude Opus 4.6,0.9604081514,0.8372639886,0.9765364831
Claude Sonnet 4.6,GPT-5.4-mini,0.9284860264,0.646857766,0.9566026483
Claude Sonnet 4.6,GPT-5.4,0.9584546921,0.8381070827,0.9701627989
Claude Sonnet 4.6,GPT-5.5,0.9599734922,0.8729252601,0.9880109543
Claude Sonnet 4.6,Grok-4-20,0.9417971346,0.7694957694,0.9683781616
Claude Sonnet 4.6,Gemini 3 Flash,0.9333826255,0.8224890405,0.9674154007
Claude Opus 4.6,GPT-5.4-mini,0.9349974362,0.681866608,0.9547714351
Claude Opus 4.6,GPT-5.4,0.9632369628,0.8934656789,0.978692312
Claude Opus 4.6,GPT-5.5,0.9524879444,0.935607529,0.9868382301
Claude Opus 4.6,Grok-4-20,0.9543129913,0.723377753,0.9712015645
Claude Opus 4.6,Gemini 3 Flash,0.9476855232,0.830067916,0.9798005693
GPT-5.4-mini,GPT-5.4,0.932006967,0.694694782,0.9642991661
GPT-5.4-mini,GPT-5.5,0.9331007449,0.7575401498,0.9543033617
GPT-5.4-mini,Grok-4-20,0.9282764965,0.5962447862,0.9540740303
GPT-5.4-mini,Gemini 3 Flash,0.9238596972,0.7116797996,0.9489546477
GPT-5.4,GPT-5.5,0.9754892697,0.9113688021,0.9926947502
GPT-5.4,Grok-4-20,0.951067848,0.7565241304,0.964574752
GPT-5.4,Gemini 3 Flash,0.9633536729,0.7784929826,0.9726669473
GPT-5.5,Grok-4-20,0.9552085711,0.7230724351,0.9681272182
GPT-5.5,Gemini 3 Flash,0.9563053123,0.8459353861,0.9745772264
Grok-4-20,Gemini 3 Flash,0.9470235791,0.6950019563,0.98033289
