item,n_personas,cochran_q,p,p_fdr_bh
s07,30,127.8778626,3.595491034e-25,7.190982067e-24
w15,30,122.8695652,4.065814176e-24,4.065814176e-23
pw07,30,91.33333333,1.601037857e-17,1.067358572e-16
w22,30,89.95683453,3.093178642e-17,1.546589321e-16
w11,30,80.96470588,2.257805779e-15,9.031223114e-15
w19,30,57.25,1.625929607e-10,5.419765357e-10
w28,28,50.41791045,3.876065062e-09,1.10744716e-08
r10,30,48.85714286,7.963267118e-09,1.990816779e-08
w01,30,28.61538462,7.192619278e-05,0.000159835984
e08,30,21.52941176,0.001473012002,0.002946024005
w14,30,20.10810811,0.002649309552,0.004816926458
pw09,30,18,0.006232195106,0.01038699184
w08,30,13,0.0430359469,0.06620914908
w13,30,9.333333333,0.1556812022,0.2224017175
r09,30,8.666666667,0.1932104508,0.2576139345
s08,30,6,0.4231900811,0.4454632433
s10,30,6,0.4231900811,0.4454632433
c10,30,6,0.4231900811,0.4454632433
r08,30,6,0.4231900811,0.4454632433
w25,30,4,0.6766764162,0.6766764162
