model,dim,initial_M,initial_SD,n_i,corrected_M,corrected_SD,n_c,delta_raw,delta_z
Claude Sonnet 4.6,DBZ-R Anx,2.0888,0.05373349875905066,10,2.1055,0.04103453829804026,10,0.01670000000000016,0.013700000000000045
Claude Sonnet 4.6,DBZ-R Avo,3.8832999999999998,0.46157388959467316,10,4.1,0.27185044908306966,10,0.2166999999999999,0.22579999999999978
Claude Sonnet 4.6,MentS total,120.9,2.3309511649396115,10,121.8,1.5491933384829668,10,0.8999999999999915,0.06569999999999987
Claude Sonnet 4.6,KPP mean,4.664,0.11301032401215978,10,4.7387,0.0494639037862739,10,0.07469999999999999,0.15359999999999974
Claude Sonnet 4.6,TIPI E,3.9,0.5163977794943223,10,3.95,0.5502524673073059,10,0.050000000000000266,0.03689999999999993
Claude Sonnet 4.6,TIPI A,5.5,0.0,10,5.3,0.2581988897471611,10,-0.20000000000000018,-0.1708
Claude Sonnet 4.6,TIPI C,4.95,0.15811388300841897,10,5.0,0.23570226039551584,10,0.04999999999999982,0.035
Claude Sonnet 4.6,TIPI ES,5.4,0.21081851067789195,10,5.4,0.21081851067789195,10,0.0,0.0
Claude Sonnet 4.6,TIPI O,6.1,0.21081851067789195,10,6.05,0.15811388300841897,10,-0.04999999999999982,-0.04390000000000005
Claude Opus 4.6,DBZ-R Anx,2.1824285714285714,0.24126807852321805,7,2.2279000000000004,0.2210989974347841,10,0.04547142857142905,0.03742857142857159
Claude Opus 4.6,DBZ-R Avo,2.8174285714285716,0.09964580128778994,7,2.7889999999999997,0.18280712361514923,10,-0.028428571428571914,-0.02964285714285711
Claude Opus 4.6,MentS total,125.85714285714286,2.3401261667248794,7,129.0,5.120763831912406,10,3.142857142857139,0.22942857142857176
Claude Opus 4.6,KPP mean,4.694285714285714,0.031899395426425205,7,4.6806,0.03975815779322653,10,-0.013685714285713857,-0.02859999999999996
Claude Opus 4.6,TIPI E,5.0,0.0,7,5.0,0.0,10,0.0,-5.551115123125783e-17
Claude Opus 4.6,TIPI A,5.642857142857143,0.24397501823713327,7,5.0,0.0,10,-0.6428571428571432,-0.5489999999999999
Claude Opus 4.6,TIPI C,6.0,0.0,7,5.8,0.2581988897471611,10,-0.20000000000000018,-0.13959999999999995
Claude Opus 4.6,TIPI ES,5.428571428571429,0.1889822365046136,7,5.35,0.24152294576982394,10,-0.07857142857142918,-0.050442857142857234
Claude Opus 4.6,TIPI O,6.5,0.0,7,6.5,0.0,10,0.0,-2.220446049250313e-16
GPT-5.4-mini,DBZ-R Anx,4.682741935483871,0.29653161357511676,31,1.6945999999999999,0.3920927327955864,10,-2.988141935483871,-2.469641935483871
GPT-5.4-mini,DBZ-R Avo,2.9766774193548393,0.40950102865941407,31,3.0222,0.31997909653948053,10,0.045522580645160904,0.047467741935483886
GPT-5.4-mini,MentS total,103.03225806451613,4.094580735295064,31,131.0,4.69041575982343,10,27.967741935483872,2.041645161290323
GPT-5.4-mini,KPP mean,4.0449032258064515,0.09375725921716135,31,4.9638,0.06295818718271147,10,0.9188967741935485,1.879841935483871
GPT-5.4-mini,TIPI E,4.483870967741935,0.4180085917725841,31,3.95,0.864420165325996,10,-0.5338709677419349,-0.3925354838709677
GPT-5.4-mini,TIPI A,5.32258064516129,0.3040939300274997,31,5.9,0.21081851067789195,10,0.5774193548387103,0.4931161290322581
GPT-5.4-mini,TIPI C,5.161290322580645,0.373878250552983,31,6.05,0.3689323936863109,10,0.8887096774193548,0.6213612903225807
GPT-5.4-mini,TIPI ES,4.645161290322581,0.29420934686876665,31,6.25,0.26352313834736496,10,1.604838709677419,1.0286612903225807
GPT-5.4-mini,TIPI O,4.903225806451613,0.3005371535187643,31,6.3,0.3496029493900505,10,1.3967741935483868,1.2251774193548388
GPT-5.4,DBZ-R Anx,1.0,0.0,31,1.4780000000000002,0.9075722193485944,10,0.4780000000000002,0.3950000000000009
GPT-5.4,DBZ-R Avo,4.315451612903226,1.3944546804805018,31,3.5446,1.0261036551494744,10,-0.7708516129032263,-0.8029516129032255
GPT-5.4,MentS total,128.74193548387098,3.3859291382177883,31,122.9,3.8137179293236203,10,-5.841935483870969,-0.42646129032258084
GPT-5.4,KPP mean,4.917,0.0,31,4.922300000000001,0.044971719508548426,10,0.005300000000000971,0.011499999999999844
GPT-5.4,TIPI E,4.048387096774194,1.0595190631419946,31,3.95,1.0658851303546322,10,-0.09838709677419377,-0.07234838709677449
GPT-5.4,TIPI A,6.967741935483871,0.12486551905735371,31,6.3,0.4216370213557839,10,-0.6677419354838712,-0.5708516129032257
GPT-5.4,TIPI C,6.564516129032258,0.28112676511587464,31,6.55,0.3689323936863109,10,-0.014516129032258185,-0.010161290322580285
GPT-5.4,TIPI ES,6.967741935483871,0.12486551905735371,31,7.0,0.0,10,0.032258064516129004,0.020645161290322234
GPT-5.4,TIPI O,6.870967741935484,0.22240136148728465,31,6.45,0.2838231060987733,10,-0.4209677419354838,-0.36960967741935513
GPT-5.5,DBZ-R Anx,1.1556,0.11097986579666104,50,1.261,0.09434687770845057,10,0.10539999999999994,0.08743999999999996
GPT-5.5,DBZ-R Avo,3.1877599999999995,0.594926768259621,50,3.4168,0.34469529217041023,10,0.22904000000000035,0.23860000000000006
GPT-5.5,MentS total,128.74,2.301818269746501,50,127.7,1.8287822299126937,10,-1.0400000000000063,-0.07591999999999999
GPT-5.5,KPP mean,4.87554,0.035686394823660754,50,4.8863,0.053250039123616255,10,0.010760000000000325,0.021459999999999813
GPT-5.5,TIPI E,4.23,0.5171546959970843,50,4.9,0.5676462121975466,10,0.6699999999999999,0.49234000000000006
GPT-5.5,TIPI A,6.06,0.2175935173103974,50,6.0,0.0,10,-0.05999999999999961,-0.05132000000000003
GPT-5.5,TIPI C,6.4,0.24743582965269675,50,6.35,0.24152294576982394,10,-0.05000000000000071,-0.03499999999999981
GPT-5.5,TIPI ES,6.9,0.20203050891044214,50,7.0,0.0,10,0.09999999999999964,0.06399999999999983
GPT-5.5,TIPI O,6.35,0.3234066120763363,50,6.35,0.24152294576982394,10,0.0,-6.000000000017103e-05
Grok-4-20,DBZ-R Anx,1.7998999999999998,0.323271282705752,10,1.7556,0.2894336231715698,10,-0.044299999999999784,-0.03679999999999972
Grok-4-20,DBZ-R Avo,2.6332999999999998,0.8361034026961018,10,2.4223,0.4506873885768518,10,-0.21099999999999985,-0.21999999999999997
Grok-4-20,MentS total,132.6,5.581716183715861,10,131.5,3.6285901761795403,10,-1.0999999999999943,-0.08030000000000026
Grok-4-20,KPP mean,4.8223,0.13614293958924215,10,4.8666,0.10029201807167362,10,0.044299999999999784,0.09089999999999954
Grok-4-20,TIPI E,5.1,0.6146362971528591,10,5.45,0.5986094998689323,10,0.35000000000000053,0.2572
Grok-4-20,TIPI A,5.95,0.43779751788545657,10,5.85,0.3374742788552764,10,-0.10000000000000053,-0.08550000000000002
Grok-4-20,TIPI C,6.25,0.3535533905932738,10,6.25,0.3535533905932738,10,0.0,0.0
Grok-4-20,TIPI ES,6.4,0.45946829173634074,10,6.55,0.43779751788545657,10,0.14999999999999947,0.09619999999999984
Grok-4-20,TIPI O,5.85,0.4743416490252569,10,6.0,0.408248290463863,10,0.15000000000000036,0.13159999999999983
Gemini 3 Flash,DBZ-R Anx,1.1000999999999999,0.21094151374782116,10,1.0167,0.05281003692481195,10,-0.08339999999999992,-0.06889999999999996
Gemini 3 Flash,DBZ-R Avo,1.7056,0.7621644908489971,10,2.7667,2.0610928627524014,10,1.0611000000000002,1.1054999999999997
Gemini 3 Flash,MentS total,137.0,3.7416573867739413,10,135.9,4.701063709417263,10,-1.0999999999999943,-0.08030000000000026
Gemini 3 Flash,KPP mean,4.994400000000001,0.017708754896942944,10,4.9916,0.018898559615895448,10,-0.00280000000000058,-0.005699999999999594
Gemini 3 Flash,TIPI E,4.65,1.0013879257199867,10,3.35,1.0287532908007309,10,-1.3000000000000003,-0.9559
Gemini 3 Flash,TIPI A,6.95,0.15811388300841897,10,6.75,0.42491829279939874,10,-0.20000000000000018,-0.17100000000000004
Gemini 3 Flash,TIPI C,7.0,0.0,10,6.9,0.31622776601683794,10,-0.09999999999999964,-0.07000000000000006
Gemini 3 Flash,TIPI ES,7.0,0.0,10,7.0,0.0,10,0.0,0.0
Gemini 3 Flash,TIPI O,6.8,0.2581988897471611,10,6.65,0.41163630117428235,10,-0.14999999999999947,-0.13169999999999993
