model,condition,n_runs,correct_pct,dos_pct,nad_pct,bk_pct
Claude Sonnet 4.6,persona,60,95.3030303030303,3.6363636363636362,1.0606060606060606,0.0
Claude Sonnet 4.6,baseline,10,95.45454545454545,4.545454545454546,0.0,0.0
Claude Opus 4.6,persona,60,87.04545454545455,10.530303030303031,1.4393939393939394,0.9848484848484849
Claude Opus 4.6,baseline,10,90.9090909090909,9.090909090909092,0.0,0.0
GPT-5.4-mini,persona,61,83.44569288389513,9.588014981273409,2.0224719101123596,4.943820224719101
GPT-5.4-mini,baseline,10,86.81818181818181,6.818181818181818,1.3636363636363635,5.0
GPT-5.4,persona,61,92.17585692995529,2.1609538002980626,0.9687034277198212,4.694485842026825
GPT-5.4,baseline,10,94.54545454545455,0.9090909090909091,0.0,4.545454545454546
GPT-5.5,persona,61,94.48584202682564,3.055141579731744,2.384500745156483,0.07451564828614009
GPT-5.5,baseline,10,99.0909090909091,0.0,0.9090909090909091,0.0
Grok-4-20,persona,61,90.9090909090909,3.278688524590164,3.502235469448584,2.3099850968703426
Grok-4-20,baseline,10,98.18181818181819,0.0,1.3636363636363635,0.45454545454545453
Gemini 3 Flash,persona,60,88.20395738203958,1.9025875190258752,5.707762557077626,4.185692541856925
Gemini 3 Flash,baseline,10,90.45454545454545,0.0,5.0,4.545454545454546
