model,item,initial_k,initial_n,initial_pct,initial_lo,initial_hi,corrected_k,corrected_n,corrected_pct,corrected_lo,corrected_hi,delta_pp
Claude Sonnet 4.6,s07,1,60,1.6666666666666667,0.2948159794786249,8.855129727590061,60,60,100.0,93.982814785791,99.99999999999997,98.33333333333333
Claude Sonnet 4.6,w19,57,60,95.0,86.29948352365146,98.28504978356042,60,60,100.0,93.982814785791,99.99999999999997,5.0
Claude Sonnet 4.6,pw07,60,60,100.0,93.982814785791,99.99999999999997,60,60,100.0,93.982814785791,99.99999999999997,0.0
Claude Sonnet 4.6,w22,1,60,1.6666666666666667,0.2948159794786249,8.855129727590061,10,59,16.949152542372882,9.475839349181053,28.463220736488008,15.282485875706216
Claude Opus 4.6,s07,4,60,6.666666666666667,2.622869872450621,15.92535731319717,17,60,28.333333333333332,18.506828428432716,40.76728516439118,21.666666666666664
Claude Opus 4.6,w19,60,60,100.0,93.982814785791,99.99999999999997,43,60,71.66666666666667,59.232714835608824,81.49317157156729,-28.33333333333333
Claude Opus 4.6,pw07,57,60,95.0,86.29948352365146,98.28504978356042,60,60,100.0,93.982814785791,99.99999999999997,5.0
Claude Opus 4.6,w22,0,60,0.0,0.0,6.017185214208986,0,60,0.0,0.0,6.017185214208986,0.0
GPT-5.4-mini,s07,0,60,0.0,0.0,6.017185214208986,5,61,8.19672131147541,3.5519566606873583,17.79466180292535,8.19672131147541
GPT-5.4-mini,w19,44,49,89.79591836734694,78.24363845080408,95.56204532552373,58,61,95.08196721311475,86.50887247278409,98.31340173312375,5.286048845767809
GPT-5.4-mini,pw07,11,60,18.333333333333332,10.557796889197638,29.919753746468047,27,61,44.26229508196721,32.50780552148288,56.696632306856124,25.928961748633878
GPT-5.4-mini,w22,45,60,75.0,62.767929922952185,84.22347746994333,51,61,83.60655737704919,72.38716146826548,90.84398839432039,8.606557377049185
GPT-5.4,s07,0,60,0.0,0.0,6.017185214208986,59,61,96.72131147540983,88.81050958050439,99.09621096016377,96.72131147540983
GPT-5.4,w19,57,60,95.0,86.29948352365146,98.28504978356042,51,61,83.60655737704919,72.38716146826548,90.84398839432039,-11.393442622950815
GPT-5.4,pw07,57,60,95.0,86.29948352365146,98.28504978356042,60,61,98.36065573770492,91.28113995535841,99.71002692007002,3.360655737704917
GPT-5.4,w22,0,60,0.0,0.0,6.017185214208986,0,61,0.0,-6.938893903907228e-16,5.924386789811283,0.0
GPT-5.5,s07,34,61,55.73770491803279,43.303367693143876,67.49219447851712,59,61,96.72131147540983,88.81050958050439,99.09621096016377,40.983606557377044
GPT-5.5,w19,56,61,91.80327868852459,82.20533819707465,96.44804333931265,34,61,55.73770491803279,43.303367693143876,67.49219447851712,-36.065573770491795
GPT-5.5,pw07,59,61,96.72131147540983,88.81050958050439,99.09621096016377,61,61,100.0,94.07561321018872,100.0,3.278688524590166
GPT-5.5,w22,36,61,59.01639344262295,46.49979227300693,70.46466256817463,31,61,50.81967213114754,38.602618491091164,62.93960467628899,-8.196721311475407
Grok-4-20,s07,20,60,33.333333333333336,22.72926152352268,45.94313354788031,48,61,78.68852459016394,66.87758459836243,87.10022625994256,45.3551912568306
Grok-4-20,w19,56,60,93.33333333333333,84.07464268680283,97.37713012754938,59,61,96.72131147540983,88.81050958050439,99.09621096016377,3.3879781420765056
Grok-4-20,pw07,34,60,56.666666666666664,44.103438776125564,68.42760319531324,59,61,96.72131147540983,88.81050958050439,99.09621096016377,40.05464480874317
Grok-4-20,w22,33,60,55.0,42.49193588533434,66.90634559324477,35,61,57.377049180327866,44.89523044494656,68.98477806147471,2.377049180327866
Gemini 3 Flash,s07,54,65,83.07692307692308,72.18357836377646,90.2787818717884,56,60,93.33333333333333,84.07464268680283,97.37713012754938,10.256410256410248
Gemini 3 Flash,w19,49,65,75.38461538461539,63.69421680412217,84.24201314410202,23,60,38.333333333333336,27.088272374082024,50.98240417590007,-37.05128205128205
Gemini 3 Flash,pw07,63,65,96.92307692307692,89.45729447642205,99.152100276356,58,60,96.66666666666667,88.6362257256914,99.08106807438021,-0.2564102564102484
Gemini 3 Flash,w22,14,65,21.53846153846154,13.286757691151019,32.966560245688534,4,60,6.666666666666667,2.622869872450621,15.92535731319717,-14.871794871794872
