model_1,model_2,median_ccc,min_ccc,ccc_z_anx,ccc_z_avo,ccc_z_ments_total,ccc_z_kpp,ccc_z_e,ccc_z_a,ccc_z_c,ccc_z_es,ccc_z_o
Claude Sonnet 4.6,Claude Opus 4.6,0.937291854000743,0.7723142997538859,0.9213148663636558,0.9721108639144888,0.9612111339367632,0.937291854000743,0.9649279285860851,0.7723142997538859,0.9282043993183456,0.9512271914723824,0.9175037343417433
Claude Sonnet 4.6,GPT-5.4-mini,0.8910997426679121,0.6200678083662695,0.8910997426679121,0.957309697021168,0.867036060213694,0.7578143801564484,0.949423498286888,0.6200678083662695,0.8970047119393252,0.9457102397110225,0.8892866194396634
Claude Sonnet 4.6,GPT-5.4,0.9103682739571166,0.7607372019209439,0.9161816832277376,0.9651521226577021,0.9614241992580616,0.9103682739571166,0.9040300645658587,0.7607372019209439,0.8986572579750789,0.9222791012042577,0.8371146785530467
Claude Sonnet 4.6,GPT-5.5,0.9183492656463438,0.8065159681201992,0.910981949892482,0.9643160140669989,0.9426083331078365,0.9183492656463438,0.9564731514410116,0.8065159681201992,0.9112234864133621,0.9184583444787534,0.8324262197539418
Claude Sonnet 4.6,Grok-4-20,0.9033219096808504,0.7252708482375064,0.8428252625940191,0.9532561228195324,0.9530938151562541,0.8534744445514245,0.9322502018277624,0.7252708482375064,0.8928204505385715,0.9688821385677913,0.9033219096808504
Claude Sonnet 4.6,Gemini 3 Flash,0.863783380476139,0.8001439343725864,0.863783380476139,0.9498004324939034,0.898242456623228,0.8410006867845882,0.9113487678132832,0.8001439343725864,0.8018682103358878,0.9348272580807003,0.8210860835483
Claude Opus 4.6,GPT-5.4-mini,0.9391650871850641,0.727962685250613,0.9491574716692528,0.9553782449649825,0.8624231732152691,0.727962685250613,0.9534684533287288,0.7359365636129617,0.9722217720470921,0.9391650871850641,0.9178186815155441
Claude Opus 4.6,GPT-5.4,0.9434458990351777,0.874920875500658,0.9752744122537914,0.9645613883466737,0.9469684875290539,0.9018413507283016,0.9434458990351777,0.874920875500658,0.9412579449637635,0.9655430885300159,0.9050216813980635
Claude Opus 4.6,GPT-5.5,0.9424345058446804,0.8809207666939102,0.9739138186213526,0.9673917480874554,0.9419854603199264,0.9135732091022132,0.9674083242534446,0.906829854503936,0.9424345058446804,0.9544782095539842,0.8809207666939102
Claude Opus 4.6,Grok-4-20,0.9364673512740286,0.7787991765465787,0.9364673512740286,0.9713261744497674,0.9375144447731598,0.8362756031614574,0.9653283138145694,0.7787991765465787,0.9471708149494584,0.9267897393320299,0.8955384092803246
Claude Opus 4.6,Gemini 3 Flash,0.9146057701377833,0.8239186383668377,0.9440875268613784,0.9504130831404798,0.9002582107623459,0.8239186383668377,0.9496242536561383,0.8382189511477355,0.8884604518560891,0.9648714580345802,0.9146057701377833
GPT-5.4-mini,GPT-5.4,0.9427229739758108,0.7129753066749536,0.963095299655868,0.9512431170190524,0.8482491500866917,0.8543737384221727,0.9427229739758108,0.7129753066749536,0.9510252527174451,0.9443834096493089,0.8616638417632265
GPT-5.4-mini,GPT-5.5,0.9395603537939773,0.7106725340659317,0.9597302905561267,0.9395603537939773,0.8737428445734857,0.8358102591639762,0.9533752444367468,0.7106725340659317,0.9418032094751105,0.9400031956365694,0.8460868559454136
GPT-5.4-mini,Grok-4-20,0.9418073853442792,0.7838211059501636,0.9575875788149716,0.9418073853442792,0.8800800445679483,0.8953413429426926,0.9610108780848902,0.7838211059501636,0.9628976386832747,0.9434600977187294,0.8856391933002761
GPT-5.4-mini,Gemini 3 Flash,0.9196983924626403,0.7037936730357296,0.959137129770528,0.9246475642566264,0.8885249587168405,0.8647671204763552,0.9309825691407122,0.7037936730357296,0.9196983924626403,0.9423180240906561,0.8721106983990645
GPT-5.4,GPT-5.5,0.9837762130535933,0.9359218063563738,0.9923555956171803,0.988730886157678,0.9881153831336469,0.981226681161516,0.977603804039119,0.9359218063563738,0.9837762130535933,0.987294795102727,0.9616080361887124
GPT-5.4,Grok-4-20,0.9495522274507244,0.8006687682613056,0.9495522274507244,0.9576223234978924,0.9343837542844441,0.96103780921726,0.9619682818678944,0.8006687682613056,0.96406865815922,0.9251054877440701,0.8504186329438065
GPT-5.4,Gemini 3 Flash,0.9582897795460135,0.8609848642096818,0.9595675692058782,0.962859794956762,0.8959481012793693,0.955495264538291,0.9811763969391324,0.8609848642096818,0.9582897795460135,0.9758691853039074,0.9453868613530988
GPT-5.5,Grok-4-20,0.9467660780483173,0.790906901090176,0.9560195360532726,0.9706928674095548,0.9252849273572622,0.9467660780483173,0.9624120588593699,0.790906901090176,0.9696536926381792,0.9218580272720283,0.8762049673062049
GPT-5.5,Gemini 3 Flash,0.9483721188191452,0.905758605030269,0.960031266409636,0.9664995149189308,0.9221767791188974,0.9464656716996271,0.9715733266390272,0.905758605030269,0.9483721188191452,0.9734978458805942,0.916926662401744
Grok-4-20,Gemini 3 Flash,0.9523533804910304,0.7787089394448744,0.9679786859496344,0.9656728632966306,0.8718857305792964,0.9733465630129613,0.9722795277620443,0.7787089394448744,0.9523533804910304,0.9465341224753009,0.858481459288777
