model_1,model_2,n_personas,median_r,min_r,max_r,r_z_anx,r_z_avo,r_z_ments_total,r_z_kpp,r_z_e,r_z_a,r_z_c,r_z_es,r_z_o
Claude Sonnet 4.6,Claude Opus 4.6,30,0.9602747447,0.8599099055,0.9776697986,0.9557073043,0.9776697986,0.9686548447,0.9439862075,0.9727957442,0.8599099055,0.9594866999,0.9730066605,0.9602747447
Claude Sonnet 4.6,GPT-5.4-mini,30,0.9473317185,0.7533434496,0.9722157359,0.9433927293,0.9576864312,0.9473317185,0.8989846487,0.9722157359,0.7533434496,0.9550698035,0.9497115732,0.9040306742
Claude Sonnet 4.6,GPT-5.4,30,0.9660483071,0.8869496668,0.9784966852,0.9660483071,0.9784966852,0.9687304319,0.9645571563,0.9703408689,0.8869496668,0.956740797,0.9662074204,0.943127522
Claude Sonnet 4.6,GPT-5.5,30,0.962783016,0.8869739438,0.9886232962,0.963320731,0.9886232962,0.9578193117,0.962783016,0.9856257476,0.8869739438,0.9617871886,0.9733894579,0.9425983512
Claude Sonnet 4.6,Grok-4-20,30,0.9667503445,0.8307528141,0.9847461451,0.942424926,0.9723398126,0.9667503445,0.9677832983,0.9714936855,0.8307528141,0.9544167604,0.9847461451,0.9285939596
Claude Sonnet 4.6,Gemini 3 Flash,30,0.9476086963,0.8816947634,0.9789953529,0.9381093485,0.9789953529,0.9173653611,0.9656079903,0.9668977055,0.8816947634,0.920148925,0.9652914718,0.9476086963
Claude Opus 4.6,Claude Sonnet 4.6,30,0.9602747447,0.8599099055,0.9776697986,0.9557073043,0.9776697986,0.9686548447,0.9439862075,0.9727957442,0.8599099055,0.9594866999,0.9730066605,0.9602747447
Claude Opus 4.6,GPT-5.4-mini,30,0.9523280825,0.7472753921,0.977155264,0.9523280825,0.9596184384,0.9117648461,0.8518172027,0.957624278,0.7472753921,0.977155264,0.9536950381,0.9253986477
Claude Opus 4.6,GPT-5.4,30,0.9577651769,0.9220257792,0.9846173864,0.9846173864,0.9769631602,0.9516019845,0.9349614067,0.9756442395,0.9220257792,0.9577651769,0.9756728807,0.9473488535
Claude Opus 4.6,GPT-5.5,30,0.9595948495,0.9342400614,0.9861291164,0.9838432686,0.9861291164,0.945387333,0.9342400614,0.9779792095,0.9479161014,0.9595948495,0.9733090181,0.94296135
Claude Opus 4.6,Grok-4-20,30,0.9607792467,0.785758675,0.9782059518,0.9607792467,0.9770974836,0.939979693,0.9194784765,0.9782059518,0.785758675,0.9608186938,0.9677130235,0.9030596835
Claude Opus 4.6,Gemini 3 Flash,30,0.9535754732,0.9005339932,0.9815106971,0.9564938994,0.9648305234,0.9033477847,0.9065453594,0.9753182326,0.9005339932,0.9405872174,0.9815106971,0.9535754732
GPT-5.4-mini,Claude Sonnet 4.6,30,0.9473317185,0.7533434496,0.9722157359,0.9433927293,0.9576864312,0.9473317185,0.8989846487,0.9722157359,0.7533434496,0.9550698035,0.9497115732,0.9040306742
GPT-5.4-mini,Claude Opus 4.6,30,0.9523280825,0.7472753921,0.977155264,0.9523280825,0.9596184384,0.9117648461,0.8518172027,0.957624278,0.7472753921,0.977155264,0.9536950381,0.9253986477
GPT-5.4-mini,GPT-5.4,30,0.9615449502,0.7735459237,0.9698105224,0.9674044356,0.9672556136,0.9289784349,0.9047091384,0.9615449502,0.7735459237,0.9642713882,0.9698105224,0.9126913078
GPT-5.4-mini,GPT-5.5,30,0.9588420729,0.7775560156,0.9722755872,0.9639535369,0.966343621,0.9373885803,0.9168784891,0.9634880149,0.7775560156,0.9588420729,0.9722755872,0.9076192835
GPT-5.4-mini,Grok-4-20,30,0.951419295,0.8005705285,0.9711634857,0.9678631309,0.9599810019,0.9420436809,0.922898056,0.963398058,0.8005705285,0.9711634857,0.951419295,0.8880813468
GPT-5.4-mini,Gemini 3 Flash,30,0.9467746465,0.8000022079,0.9622274073,0.9622274073,0.9537571584,0.9226144786,0.9302733835,0.9467746465,0.8000022079,0.9545570691,0.955047697,0.933416312
GPT-5.4,Claude Sonnet 4.6,30,0.9660483071,0.8869496668,0.9784966852,0.9660483071,0.9784966852,0.9687304319,0.9645571563,0.9703408689,0.8869496668,0.956740797,0.9662074204,0.943127522
GPT-5.4,Claude Opus 4.6,30,0.9577651769,0.9220257792,0.9846173864,0.9846173864,0.9769631602,0.9516019845,0.9349614067,0.9756442395,0.9220257792,0.9577651769,0.9756728807,0.9473488535
GPT-5.4,GPT-5.4-mini,30,0.9615449502,0.7735459237,0.9698105224,0.9674044356,0.9672556136,0.9289784349,0.9047091384,0.9615449502,0.7735459237,0.9642713882,0.9698105224,0.9126913078
GPT-5.4,GPT-5.5,30,0.9887354772,0.9436927632,0.9923959326,0.9923959326,0.9906442527,0.991284926,0.985702831,0.9887354772,0.9436927632,0.984517104,0.9887721767,0.9668309222
GPT-5.4,Grok-4-20,30,0.9649063655,0.818307045,0.9753519357,0.9631972699,0.9677139109,0.93711151,0.9753519357,0.9745942705,0.818307045,0.9649063655,0.9688650313,0.8816856619
