threshold,model,matches,n,accuracy,kappa
3.5,Claude Sonnet 4.6,24,30,0.8,0.7341211226
3.5,Claude Opus 4.6,27,30,0.9,0.8664688427
3.5,GPT-5.4-mini,25,30,0.8333333333,0.7774480712
3.5,GPT-5.4,25,30,0.8333333333,0.7777777778
3.5,GPT-5.5,25,30,0.8333333333,0.7777777778
3.5,Grok-4-20,26,30,0.8666666667,0.8222222222
3.5,Gemini 3 Flash,25,30,0.8333333333,0.7777777778
3.75,Claude Sonnet 4.6,25,30,0.8333333333,0.7787610619
3.75,Claude Opus 4.6,26,30,0.8666666667,0.8222222222
3.75,GPT-5.4-mini,26,30,0.8666666667,0.8222222222
3.75,GPT-5.4,26,30,0.8666666667,0.8224852071
3.75,GPT-5.5,26,30,0.8666666667,0.8222222222
3.75,Grok-4-20,26,30,0.8666666667,0.8222222222
3.75,Gemini 3 Flash,25,30,0.8333333333,0.7777777778
4,Claude Sonnet 4.6,23,30,0.7666666667,0.6911764706
4,Claude Opus 4.6,25,30,0.8333333333,0.7781065089
4,GPT-5.4-mini,29,30,0.9666666667,0.9555555556
4,GPT-5.4,26,30,0.8666666667,0.8224852071
4,GPT-5.5,26,30,0.8666666667,0.8224852071
4,Grok-4-20,26,30,0.8666666667,0.8222222222
4,Gemini 3 Flash,25,30,0.8333333333,0.7777777778
4.25,Claude Sonnet 4.6,23,30,0.7666666667,0.6916299559
4.25,Claude Opus 4.6,25,30,0.8333333333,0.7784342688
4.25,GPT-5.4-mini,27,30,0.9,0.8668639053
4.25,GPT-5.4,24,30,0.8,0.7345132743
4.25,GPT-5.5,26,30,0.8666666667,0.8224852071
4.25,Grok-4-20,27,30,0.9,0.8666666667
4.25,Gemini 3 Flash,26,30,0.8666666667,0.8224852071
4.5,Claude Sonnet 4.6,20,30,0.6666666667,0.5614035088
4.5,Claude Opus 4.6,25,30,0.8333333333,0.7787610619
4.5,GPT-5.4-mini,26,30,0.8666666667,0.8224852071
4.5,GPT-5.4,23,30,0.7666666667,0.6907216495
4.5,GPT-5.5,24,30,0.8,0.7345132743
4.5,Grok-4-20,27,30,0.9,0.8666666667
4.5,Gemini 3 Flash,26,30,0.8666666667,0.8224852071
