dim,dbz_anxiety,dbz_avoidance,ments_self,ments_other,ments_motivation,kpp,tipi_E,tipi_A,tipi_C,tipi_ES,tipi_O
dbz_anxiety,1,-0.2094932953,0.1768724926,0.1853351871,0.5697354634,-0.09667259625,0.04795210268,0.288060289,-0.336907451,-0.8562666657,0.07835974445
dbz_avoidance,-0.2094932953,1,-0.1774188349,-0.43636698,-0.3842855739,0.275123161,-0.681219261,-0.6794314379,0.2811926337,0.1679697959,9.173969707e-18
ments_self,0.1768724926,-0.1774188349,1,0.4783314289,0.7093973408,0.6165116139,0.07149761001,0.196073242,0.1350448964,-0.1504468892,0.5417640346
ments_other,0.1853351871,-0.43636698,0.4783314289,1,0.6903059721,0.2465586717,0.5149229173,0.3401102421,0.06000437855,-0.04749109625,0.4334445957
ments_motivation,0.5697354634,-0.3842855739,0.7093973408,0.6903059721,1,0.4635239794,0.2775141087,0.45223525,-0.06498575019,-0.3697392639,0.6177700317
kpp,-0.09667259625,0.275123161,0.6165116139,0.2465586717,0.4635239794,1,-0.2947342146,-0.0541015866,0.4565098925,0.1781404647,0.6651117388
tipi_E,0.04795210268,-0.681219261,0.07149761001,0.5149229173,0.2775141087,-0.2947342146,1,0.2795815139,-0.4089191469,0.09254617364,0.1031957954
tipi_A,0.288060289,-0.6794314379,0.196073242,0.3401102421,0.45223525,-0.0541015866,0.2795815139,1,-0.1118578991,-0.1813633271,0.1425212878
tipi_C,-0.336907451,0.2811926337,0.1350448964,0.06000437855,-0.06498575019,0.4565098925,-0.4089191469,-0.1118578991,1,0.4234080423,-0.1671189197
tipi_ES,-0.8562666657,0.1679697959,-0.1504468892,-0.04749109625,-0.3697392639,0.1781404647,0.09254617364,-0.1813633271,0.4234080423,1,-0.04873032537
tipi_O,0.07835974445,9.173969707e-18,0.5417640346,0.4334445957,0.6177700317,0.6651117388,0.1031957954,0.1425212878,-0.1671189197,-0.04873032537,1
