dim,level,n_personas
dbz_anxiety,high,7
dbz_anxiety,low,10
dbz_anxiety,low_moderate,1
dbz_anxiety,moderate_high,1
dbz_anxiety,moderate_low,1
dbz_anxiety,very_high,8
dbz_anxiety,very_low,2
dbz_avoidance,high,6
dbz_avoidance,low,9
dbz_avoidance,moderate,2
dbz_avoidance,moderate_high,6
dbz_avoidance,moderate_low,3
dbz_avoidance,very_high,3
dbz_avoidance,very_low,1
kpp,high,8
kpp,low,3
kpp,low_moderate,4
kpp,moderate,2
kpp,moderate_high,9
kpp,very_high,4
ments_motivation,high,3
ments_motivation,low,7
ments_motivation,low_moderate,1
ments_motivation,moderate,6
ments_motivation,moderate_high,4
ments_motivation,very_high,8
ments_motivation,very_low,1
ments_other,high,8
ments_other,low,6
ments_other,low_moderate,1
ments_other,moderate,3
ments_other,moderate_high,7
ments_other,moderate_low,2
ments_other,very_high,3
ments_self,high,6
ments_self,low,4
ments_self,low_moderate,2
ments_self,moderate,6
ments_self,moderate_high,4
ments_self,moderate_low,1
ments_self,very_high,4
ments_self,very_low,3
tipi_A,high,6
tipi_A,low,5
tipi_A,low_moderate,3
tipi_A,moderate,4
tipi_A,moderate_high,7
tipi_A,moderate_low,1
tipi_A,very_high,3
tipi_A,very_low,1
tipi_C,extreme,2
tipi_C,high,7
tipi_C,low,2
tipi_C,low_moderate,1
tipi_C,moderate,7
tipi_C,moderate_high,4
tipi_C,very_high,5
tipi_C,very_low,2
tipi_E,high,4
tipi_E,low,7
tipi_E,low_moderate,2
tipi_E,moderate,4
tipi_E,moderate_high,6
tipi_E,moderate_low,1
tipi_E,very_high,3
tipi_E,very_low,3
tipi_ES,high,7
tipi_ES,low,5
tipi_ES,low_moderate,2
tipi_ES,moderate,1
tipi_ES,moderate_high,3
tipi_ES,moderate_low,1
tipi_ES,very_low,11
tipi_O,high,6
tipi_O,low,4
tipi_O,low_moderate,1
tipi_O,moderate,5
tipi_O,moderate_high,6
tipi_O,moderate_low,1
tipi_O,very_high,7
