model,condition,n_runs,pct_correct,mean_correct,sd_correct
Claude Sonnet 4.6,persona,60,95.3030303030303,20.966666666666665,0.6097142055335258
Claude Sonnet 4.6,baseline,10,95.45454545454545,21.0,0.0
Claude Sonnet 4.6,noprompt,6,95.41984732824427,20.833333333333332,0.40824829046386296
Claude Opus 4.6,persona,60,87.04545454545455,19.15,1.725432885993482
Claude Opus 4.6,baseline,10,90.9090909090909,20.0,0.0
Claude Opus 4.6,noprompt,6,95.45454545454545,21.0,0.0
GPT-5.4-mini,persona,61,83.44569288389513,18.262295081967213,1.642169696308944
GPT-5.4-mini,baseline,10,86.81818181818181,19.1,1.1005049346146119
GPT-5.4-mini,noprompt,6,81.6793893129771,17.833333333333332,1.7224014243685084
GPT-5.4,persona,61,92.17585692995529,20.278688524590162,1.4157583073037057
GPT-5.4,baseline,10,94.54545454545455,20.8,0.4216370213557839
GPT-5.4,noprompt,5,94.54545454545455,20.8,0.4472135954999579
GPT-5.5,persona,61,94.48584202682564,20.78688524590164,1.0506308279372072
GPT-5.5,baseline,10,99.0909090909091,21.8,0.4216370213557839
GPT-5.5,noprompt,6,100.0,22.0,0.0
Grok-4-20,persona,61,90.9090909090909,20.0,2.74469184669852
Grok-4-20,baseline,10,98.18181818181819,21.6,0.6992058987801011
Grok-4-20,noprompt,6,98.47328244274809,21.5,0.8366600265340756
Gemini 3 Flash,persona,60,88.20395738203958,19.316666666666666,2.070713188093569
Gemini 3 Flash,baseline,10,90.45454545454545,19.9,0.31622776601683794
Gemini 3 Flash,noprompt,9,89.8989898989899,19.77777777777778,0.44095855184409843
