statistic,value
n_respondents,7
tctm22_total_mean,14.29
tctm22_total_sd,1.38
tctm22_total_min,12
tctm22_total_max,16
item_w01_agree,7/7
item_s07_agree,5/7
item_s08_agree,6/7
item_s10_agree,6/7
item_w08_agree,4/7
item_c07_agree,5/7
item_c10_agree,4/7
item_w11_agree,5/7
item_w13_agree,4/7
item_w14_agree,6/7
item_e08_agree,4/7
item_w15_agree,4/7
item_w19_agree,2/7
item_pw07_agree,3/7
item_w22_agree,4/7
item_pw09_agree,5/7
item_pw11_agree,6/7
item_w25_agree,4/7
item_r08_agree,6/7
item_w28_agree,1/7
item_r09_agree,5/7
item_r10_agree,4/7
