persona,system_prompt_sha256,body_chars
adrian,7be933e1811d82987465caa3fcc35a96b68cb5a839380d5b03c3acd56e3073d4,18216
agata,a39fa99cff6346da185df930996f8299768076956ccca32364bb67b23e6920e4,13868
ania,5f3bc2e7ba5bcfc0cd09a55de55cc60e2bdd85ad87b135e0a23bc8ef2894bd5b,11379
anna-sim,5cf59570f5ab1a12c45bb4a6a76ba2929e8edaffa1d46b5b2aceb827c5809e28,9710
bartek,81ce29eceb833d8bbf4e387d98e1c6984b13fbc5df5daed2b4fc449f78250b5b,14215
dominika,d3b5158db81e796c7a4e927425d01f0af082ee4e64ecaa169f29505ca9b9000f,14440
ewa,c6a26bc2503c759383e3abc1165cf528ff34a46f221116ba9d07ae3a73a120ff,14000
filip,e8e986157006d17094f57dcfdef797457d8097ad640b5f9a4610be1105fa9054,10735
gabriela,da5b2618ad281e41b27e97ba873c7bada04ba86b0684be7d968c9ad2baa007b8,12650
hubert,95f302579d51d86297e27dbe594d97d3361d63ad92e262181e665fa82a0f684d,14156
jakub,91e71e69aecc42a9ddb376d719db2bd9d03c25d0d813cf0a136dd41e08073735,10842
jola,2ba95adc5edc2e9e39bc9f3eba17092ccb27d9f485e29840d47a495812b9a395,13873
kamil,6acec16f383a17b76bfd1c27ae181dcbb082070a2955fc25291097c4114b9ed9,12311
kasia,4b6be1d9365ab231adada1139d6f332a30ea9ed701747431be1cd11e029a5720,9629
klaudia,23f39e1130d4f8d3b4a060b8cc536596976d26c49cd9f3b27c5c14ec493606bd,13645
kuba,f654790de8be0137355dadb4e891e242f787149bc0c8d524a7ec09c8453823e7,11909
lukasz,34560531895266b88010d2e3142cb4a18b3d4d2fbed14ae358ac902e724bf1ea,11381
magda,3c94a760e787c39b10356d458592ba2e9b4346a164fba5a3c568511a23c9bc43,14068
marek,c1d3f75d78c2ead46dbad6f579702957632227e32f302ec2382fca1dcc1955a4,10390
michal-k,c942f76221d1a850032d7459d6715ae41af34d1f1691a1a0f688f9699abc44bf,10956
michal-sim,cb200900badfc3e8eff88cddc194ff3c6e394848dec0cc6e48136b3d1eee3edb,12360
natalia,58d4c4cef30dcad63afcf5a7fdc369be1405f9cb1632daaf832a1a466ad9629d,9236
ola,dcdf7613854efe9f79f0bfc288ac5274b4ab5f677a43612f69b30f6644ad1d39,9962
pawel,a0db806f517190b2bb95f14cb82a17711306cca8b32521cb8458c2d5ddada350,15098
piotr,6f3b5de7a51153253b40f41242613d766c0fa430ef52374dbdbee998056ea40e,11624
radek,03816eafab89ea5ee03444ad68aacbf5c98a1455c35f74d3f30fef34a697ac64,12978
sara,b3a8e27327f77dfd21beecdc7e6791c6f585e267db88f4860a378340b2f7fc5f,11757
tomek,c0796643a9e0b0ee9412c23c1bd5660b90d2d14ca63669b0eb61e0e21cc497de,10327
weronika,7574d8e52cb82e6b61350a7d90eeda6f536650ce83a4cd51fb6e9882b4d23a4b,16459
zuzia,b58549758738f05ffc7c692884a6306bec067201f847998b4d281d53c0e2afa4,18375
