run_id,utc_timestamp,condition,persona,model_alias,model_name,stop_reason,tokens_input,tokens_output,elapsed_seconds,temperature,top_p,seed,reasoning_effort,max_tokens,endpoint,deployment,api_version,biography_sha256,n_vignettes_rendered,prompt_system_sha256,prompt_user_sha256,response_sha256,scoreable_tctm
adrian-gemini3f-20260416T031121,2026-04-16T03:11:21Z,persona,adrian,gemini3f,gemini-3-flash-preview,stop,19429,1316,19.32,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,dbd2db6cf0491dbf234b254ae40ac9ccd0fcc1a9bb0724125f4e13e41f8fe415,True
adrian-gemini3f-20260416T031659,2026-04-16T03:16:59Z,persona,adrian,gemini3f,gemini-3-flash-preview,stop,19429,1322,15.26,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,08ee34a0596d91d0bff80ff128e3db16764ac23b83acaa930c48ae45ca533749,True
adrian-gemini3f-20260610T224555,2026-06-10T22:45:55Z,persona,adrian,gemini3f,gemini-3-flash-preview,stop,19757,1326,17.61,,,,,,,,,f23b8d7bb94c9f262176c576a73bf32a3f02a5fe3d7e63a32115a00f2d50d54d,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,497dc06b39d35dfd407bbd58125392ff3541ab6911d7572988a37e47f91f2ed4,True
adrian-gemini3f-20260610T233235,2026-06-10T23:32:35Z,persona,adrian,gemini3f,gemini-3-flash-preview,stop,19757,1294,20.35,,,,,,,,,f23b8d7bb94c9f262176c576a73bf32a3f02a5fe3d7e63a32115a00f2d50d54d,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,8812604dbe31adb68017e7435d22036d485403335fd2e363c3cf435294dc42b8,True
adrian-gpt54f-20260528T054705,2026-05-28T05:47:05Z,persona,adrian,gpt54f,gpt-5.4,stop,19845,785,11.11,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,55e088267374e62ce1af6b3f614abd655656c7dddfe61cff249b7b73dee906c0,True
adrian-gpt54f-20260528T055439,2026-05-28T05:54:39Z,persona,adrian,gpt54f,gpt-5.4,stop,19845,783,10.44,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,f2d1e25916a2150fd7cba3e6facff83f6e116e987fc0dfa3db49ae6032001526,True
adrian-gpt54f-20260531T125610,2026-05-31T12:56:10Z,persona,adrian,gpt54f,gpt-5.4,stop,20162,3178,32.65,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,070bff7c2dc841821dccd8dceafb165e9d19bb285af94e765432288a2a89a792,True
adrian-gpt54f-20260531T134346,2026-05-31T13:43:46Z,persona,adrian,gpt54f,gpt-5.4,stop,20162,4024,43.41,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,b451de4b1980759a50c814113cfce5d731c6ef8788c77e8e9a649f3d628ed7c0,True
adrian-gpt54f-20260531T144549,2026-05-31T14:45:49Z,persona,adrian,gpt54f,gpt-5.4,stop,20162,3520,39.6,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,f7ddaa93ff57225edb624c9a042acc909dbbbf7368a31b446eb806aabfb574aa,True
adrian-gpt54mini-20260416T002914,2026-04-16T00:29:14Z,persona,adrian,gpt54mini,gpt-5.4-mini-2026-03-17,stop,19845,1190,5.63,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,333d22022b34751c4986ecf1cda939f1d9c0aea38e61fac4f27c428530612126,True
adrian-gpt54mini-20260416T005602,2026-04-16T00:56:02Z,persona,adrian,gpt54mini,gpt-5.4-mini-2026-03-17,stop,19845,766,3.97,,,,,,,,,,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,5419c4a3975a7a342c9ce3c909b489beb9e5d20aac0047423ece95ffc0f87476,0b9eb350564082de565419892020a5cf7f0aa662dcdd71ab6728380f65c4fe9a,True
adrian-gpt54mini-20260531T123939,2026-05-31T12:39:39Z,persona,adrian,gpt54mini,gpt-5.4-mini-2026-03-17,stop,20162,4165,18.58,1.0,1.0,20260528,medium,16000,https://synthetic-benchmark.openai.azure.com/,gpt-5.4-mini,2024-10-21,f23b8d7bb94c9f262176c576a73bf32a3f02a5fe3d7e63a32115a00f2d50d54d,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,b7730f12645ccd21112960ad52f8ec76188ae034c419558ea9e2d09889890e09,True
adrian-gpt54mini-20260531T130328,2026-05-31T13:03:28Z,persona,adrian,gpt54mini,gpt-5.4-mini-2026-03-17,stop,20162,2927,13.07,1.0,1.0,20260528,medium,16000,https://synthetic-benchmark.openai.azure.com/,gpt-5.4-mini,2024-10-21,f23b8d7bb94c9f262176c576a73bf32a3f02a5fe3d7e63a32115a00f2d50d54d,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,65ba654ed2b15940e3ce14c26bd44486ed2e8a50a9775ab836c045e29a6a6792,True
adrian-gpt54mini-20260531T140433,2026-05-31T14:04:33Z,persona,adrian,gpt54mini,gpt-5.4-mini-2026-03-17,stop,20162,4305,18.45,1.0,1.0,20260528,medium,16000,https://synthetic-benchmark.openai.azure.com/,gpt-5.4-mini,2024-10-21,f23b8d7bb94c9f262176c576a73bf32a3f02a5fe3d7e63a32115a00f2d50d54d,22,a3911cf3da93aae8195cfcca5fc80a38a9d4b5eb80eb230bec9f92fbee4f873f,1b4d9298816a6ac5767e465986f4af6c02b1a174f986d007ea09b9a025dffa0d,b5529447a713949a648e82a7bd8bbbdbb96897b43600f2b66056f899cb630430,True
